Name,No. Posts,No. Followers,No. Following,No. Likes Ex 10 post,No. Likes Ex 11 post,No. Likes Ex 12 post,No. self posts from ex 9 posts, Sex,Date
User_357,104,"5,873","2,352",927,514,736,9,f,
User_358,"2,646","2,051","1,366",21,57,20,7,m,
User_359,"3,185","2,410","1,497",21,20,50,4,f,
User_360,112,313,457,24,31,21,0,m,
User_361,652,262,371,27,40,26,3,f,
User_362,162,"3,227","6,241",65,151,91,7,m,
User_363,433,"8,808","2,682",292,102,412,0,f,
User_364,286,801,767,15,30,39,7,m,
User_365,202,387,362,31,28,22,8,m,
User_366,276,"1,463",238,15,7,23,9,m,
User_367,105,"4,785","1,584",508,413,258,8,f,Mar 24 2017
User_368,251,"1,212",344,42,59,33,9,f,
User_369,328,444,720,11,30,25,5,f,
User_370,"3,858",258,656,7,28,14,0,m,
User_371,631,671,"1,152",138,92,86,4,m,
User_372,223,"1,002",564,61,72,67,6,f,
User_373,403,689,"2,989",31,13,14,0,f,
User_374,103,282,804,44,56,43,8,m,
User_375,291,359,700,44,4,51,5,f,
User_376,367,126,248,16,7,10,0,f,
User_377,638,429,"2,524",32,31,22,3,f,
User_378,467,583,"1,462",6,10,6,9,f,
User_379,98,911,"4,961",69,80,35,3,f,
User_380,"2,596",764,"1,126",10,3,5,1,f,
User_381,102,181,343,4,5,3,5,f,
User_382,"1,748","6,360","1,086",30,90,184,0,f,
User_383,361,"3,096","1,524",203,158,186,7,m,
User_384,348,"4,747","4,722",113,98,77,1,m,
User_385,106,"6,890",800,186,191,179,4,m,
User_386,358,"3,226","3,444",80,157,115,6,f,
User_387,76,109,276,5,9,6,5,f,
User_388,138,66,347,5,4,3,7,f,
User_389,371,"1,104","1,098",44,46,44,5,f,
User_390,181,217,394,16,17,10,9,f,
User_391,284,"1,028",985,48,42,23,0,m,
User_392,129,"7,232",381,1518,1622,1530,6,m,
User_393,224,269,515,49,48,50,5,f,
User_394,360,214,439,42,21,13,0,f,
User_395,167,350,468,31,26,31,5,f,
User_396,99,946,"4,921",64,51,59,3,f,
User_397,327,"1,371","2,361",63,158,38,7,m,
User_398,582,280,"1,177",6,12,7,8,m,
User_399,"1,399",643,"2,404",9,13,9,0,f,
User_400,185,"1,994","4,323",10,4,5,0,f,
User_401,93,"1,342","6,050",194,200,161,5,f,
User_402,61,663,536,158,216,668,1,f,
User_403,119,113,369,5,2,252,7,m,
User_404,78,416,"2,691",129,118,186,5,m,
User_405,564,808,"2,144",84,104,142,2,m,
User_406,61,"2,721","7,735",105,111,81,7,f,
User_407,79,"1,927",985,123,206,176,7,f,Mar 25 2017
User_408,447,313,"2,462",6,3,2,9,m,
User_409,280,"4,107","4,063",577,614,660,9,m,
User_410,76,"1,135",807,422,252,139,6,f,
User_411,740,"2,333","2,214",110,131,126,7,m,
User_412,826,"1,245",442,70,85,63,8,f,
User_413,71,582,542,46,61,56,8,m,
